Cd,Cu,Pb,Zn,Alkal,BOD,COD,Fecal_Col,Hardness,NO2,NO3,TDS,TSS,TKN,Total_P,Temp,DO,DO%,pH,Turb,Cond,Level,Flow,WQI
0.0002,0.003,0.003,0.029,46,2,10,46,43,7.3,0.072,195,2,2.07,0.328,3.71,13.19,100,7.31,10.9,287,2,17,65.9
0.0002,0.002,0.003,0.031,97,2,6,25,74,0.873,0.014,246,3,0.678,0.034,0.35,16.05,111,8.19,3.84,363,,,83.75
0.0002,0.003,0.003,0.008,62,2,13,460,36,0.403,0.015,122,6,2.42,0.153,0.6,13.07,90.9,7.37,8.97,188,,,75.84
0.0002,0.002,0.003,0.015,55,2,5,40,45,0.567,0.01,154,8,0.639,0.065,1.16,13.72,97,7.36,7.97,56,2.09,3.4,83.71
0.0002,0.002,0.003,0.037,56,2,39,51,44,0.577,0.01,119,2,0.599,0.04,0.72,14.29,99.8,7.4,3.5,272,0.89,1.9,84.94
0.0002,0.002,0.003,0.009,65,2,5,1,46,0.276,0.01,100,3,0.352,0.027,1.46,13.98,99.6,7.62,5.25,204,0.71,0.55,90.38
0.0002,0.002,0.003,0.01,71,2,6,1200,53,0.395,0.01,138,4,0.687,0.04,0.95,11.7,82.3,7.34,14.7,293,1.88,4.1,73.38
0.0002,0.002,0.003,0.02,59,2,9,19,38,0.381,0.01,57,3,0.658,0.045,0.32,14.43,99.6,7.71,14,202,1.13,1.3,83.85
0.0002,0.002,0.003,0.024,92,2,6,108,78,0.411,0.01,425,2,0.672,0.063,0.96,14.94,105.2,7.16,5.82,692,,,82
0.0002,0.002,0.003,0.01,70,2,5,42,60,0.479,0.01,234,3,0.821,0.05,0.23,14.95,103.1,7.56,10.3,350,,,85.93
0.0002,0.002,0.003,0.014,64,2,5,1,50,0.595,0.02,151,10,0.83,0.071,0.6,13.52,94.1,7.66,4.99,260,,,89.01
0.0002,0.002,0.003,0.005,28,2,6,13,19,0.147,0.01,44,4,0.566,0.033,0.66,15.1,105.4,7.56,12.3,104,0.92,16,85.46
0.0002,0.002,0.003,0.006,30,2,5,80,19,0.411,0.012,88,1,0.585,0.033,1.65,14.27,102.2,7.17,4.9,130,,,83.65
0.0002,0.002,0.003,0.005,47,2,6,46,30,0.351,0.01,106,1,0.55,0.03,0.73,15.23,105.6,7.23,8.28,160,1.86,4.4,84.1
0.0002,0.002,0.003,0.005,24,2,5,39,17,0.295,0.01,37,4,0.443,0.025,0.58,15.16,105.2,7.06,8,103,3.56,10,84.46
0.0002,0.002,0.003,0.005,36,2,5,32,21,0.274,0.01,51,21,0.51,0.054,2.32,14.73,107.3,6.75,27.4,118,2.35,1.3,80.48
0.0002,0.002,0.003,0.005,65,2,5,48,46,0.456,0.01,94,2,0.479,0.036,0.83,15.4,107.6,7.05,5.43,279,,,84.29
0.0002,0.002,0.003,0.005,38,2,15,1600,26,0.192,0.01,101,6,1.12,0.073,1.43,14.89,105.9,7.4,23.6,137,,,72.31
0.0002,0.002,0.003,0.005,51,2,12,29,39,0.583,0.01,138,2,0.672,0.057,2.43,15.43,112.9,7.33,9.36,230,,,83.74
0.0002,0.005,0.003,0.041,51.4,3.04,11,64,39,6.58,0.158,222,4,1.35,0.053,8.59,9.99,85.7,6.9,4.92,348,2.55,60,69.37
0.0003,0.029,0.033,0.178,12.6,10.2,20,5200,10,0.268,0.035,69,222,1.67,0.43,6.45,12.6,102.4,7.45,158,85,,,58.53
0.0002,0.013,0.009,0.055,15.8,6.2,12,1800,10,0.281,0.036,64,196,1.15,0.316,6.09,12.38,99.7,7.26,197,68,,,66.98
0.0003,0.025,0.021,0.093,23.1,8.19,18,8000,16,0.24,0.023,78,286,1.14,0.392,6.2,13.08,105.7,7.05,130,120,6.28,295,58.52
0.0002,0.018,0.01,0.069,11.6,5.97,13,8,8,0.215,0.023,31,165,1.15,0.366,6.31,13.03,105.5,7.17,122,59,2.61,112,78.14
0.0003,0.026,0.022,0.101,16.8,15.2,31,2,11,0.182,0.031,65,186,0.799,0.335,6.14,12.91,104.1,7.02,191,86,2.46,107,71.8
0.0002,0.015,0.008,0.057,43,5.49,12,880,29,0.221,0.018,120,231,1.02,0.359,6.16,11.84,95.5,7.55,1.37,200,3.51,125,67.18
0.0002,0.008,0.004,0.041,34.6,4.94,10,420,22,0.18,0.021,104,104,0.837,0.22,5.81,13.11,104.8,7.66,66.1,131,1.87,43,64.67
0.0004,0.028,0.045,0.184,12.6,11.6,21,6,8,0.217,0.029,47,373,1.93,0.624,6.04,13.5,108.6,7.38,255,86,,,64.59
0.0002,0.016,0.011,0.063,62,6.84,14,660,45,0.263,0.022,175,321,1.24,0.288,6.11,12.38,99.8,7.11,145,286,4.37,151,65.31
0.0005,0.039,0.036,0.165,24.2,8.94,83,7400,17,0.327,0.025,77,390,8.444,0.444,6.43,12.5,101.5,7.07,195,130,,,62.1
0.0002,0.002,0.003,0.006,31.5,2,5,300,22,0.05,0.01,69,5,0.256,0.022,5.41,11.95,95.1,8.09,10.6,106,0.81,10,78.26
0.0002,0.005,0.003,0.03,9.5,5.46,19,2400,6,0.115,0.021,49,60,0.569,0.146,5.8,12.22,97.7,7.89,54,54,,,63.86
0.0002,0.013,0.006,0.029,33.6,2.52,6,640,24,0.159,0.01,120,184,0.601,0.186,6.2,12.89,104.1,7.62,199,117,3.04,53,75.2
0.0002,0.002,0.003,0.009,25.2,2,5,204,30,0.176,0.01,79,15,0.323,0.042,5.96,11.64,93.4,7.46,17.6,92,3.75,15,78.95
0.0002,0.017,0.013,0.056,23.1,30.8,45,880,26,0.271,0.012,97,572,1.21,0.613,5.96,11.82,94.9,7.27,543,98,3.47,30,68.81
0.0002,0.014,0.005,0.056,17.8,6.97,24,1200,17,0.203,0.01,75,198,0.853,0.204,6.11,12.09,97.4,7.39,215,84,,,66.87
